"atomicNumber";" symbol";" name";" atomicMass";" cpkHexColor";" electronicConfiguration";"NumberofNeutrons";"NumberofProtons";"NumberofElectrons";"Period";"Group";" electronegativity";" atomicRadius";" ionRadius";" vanDelWaalsRadius";" ionizationEnergy";" electronAffinity";" oxidationStates";" standardState";"Radioactive";" bondingType";" meltingPoint";" boilingPoint";"density";"gScore";" groupBlock";" yearDiscovered";"NumberofShells";"NumberofValence"
"102";" No ";" Nobelium";" [259]";"BD0D87";"[Rn] 5f14 7s2 ";157;102;102;7;3;"1.3";;;;"642";;"2, 3";;"yes";;"1100";;;13;"actinoid";"1957";7;
"103";" Lr ";" Lawrencium";" [262]";"C70066";"[Rn] 5f14 7s2 7p1 ";159;103;103;7;3;"1.3";;;;;;"3";;"yes";;"1900";;;13;"actinoid";"1961";7;
"104";" Rf ";" Rutherfordium";" [267]";"CC0059";"[Rn] 5f14 6d2 7s2 ";157;104;104;7;4;;;;;;;"4";;"yes";;;;;11;"transition metal";"1969";7;
"105";" Db ";" Dubnium";" [268]";"D1004F";"[Rn] 5f14 6d3 7s2 ";157;105;105;7;5;;;;;;;;;"yes";;;;;11;"transition metal";"1967";7;
"106";" Sg ";" Seaborgium";" [271]";"D90045";"[Rn] 5f14 6d4 7s2 ";160;106;106;7;6;;;;;;;;;"yes";;;;;11;"transition metal";"1974";7;
"107";" Bh ";" Bohrium";" [272]";"E00038";"[Rn] 5f14 6d5 7s2 ";157;107;107;7;7;;;;;;;;;"yes";;;;;11;"transition metal";"1976";7;
"108";" Hs ";" Hassium";" [270]";"E6002E";"[Rn] 5f14 6d6 7s2 ";159;108;108;7;8;;;;;;;;;"yes";;;;;11;"transition metal";"1984";7;
"109";" Mt ";" Meitnerium";" [276]";"EB0026";"[Rn] 5f14 6d7 7s2 ";159;109;109;7;9;;;;;;;;;"yes";;;;;11;"transition metal";"1982";7;
"110";" Ds ";" Darmstadtium";" [281]";"EB0026";"[Rn] 5f14 6d9 7s1 ";161;110;110;7;10;;;;;;;;;"yes";;;;;11;"transition metal";"1994";7;
"111";" Rg ";" Roentgenium";" [280]";"EB0026";"[Rn] 5f14 6d10 7s1 ";161;111;111;7;11;;;;;;;;;"yes";;;;;11;"transition metal";"1994";7;
"112";" Cn ";" Copernicium";" [285]";"EB0026";"[Rn] 5f14 6d10 7s2 ";173;112;112;7;12;;;;;;;;;"yes";;;;;11;"transition metal";"1996";7;
"113";" Nh ";" Nihonium";" [284]";"EB0026";"[Rn] 5f14 6d10 7s2 7p1 ";171;113;113;7;13;;;;;;;;;"yes";;;;;14;"post-transition metal";"2003";7;3
"114";" Fl ";" Flerovium";" [289]";"EB0026";"[Rn] 5f14 6d10 7s2 7p2 ";175;114;114;7;14;;;;;;;;;"yes";;;;;14;"post-transition metal";"1998";7;4
"115";" Mc ";" Moscovium";" [288]";"EB0026";"[Rn] 5f14 6d10 7s2 7p3 ";173;115;115;7;15;;;;;;;;;"yes";;;;;14;"post-transition metal";"2003";7;5
"116";" Lv ";" Livermorium";" [293]";"EB0026";"[Rn] 5f14 6d10 7s2 7p4 ";176;116;116;7;16;;;;;;;;;"yes";;;;;14;"post-transition metal";"2000";7;6
"117";" Ts ";" Tennessine";" [294]";"EB0026";"[Rn] 5f14 6d10 7s2 7p5 ";178;117;117;7;17;;;;;;;;;"yes";;;;;14;"post-transition metal";"2010";7;7
"118";" Og ";" Oganesson";" [294] ";"EB0026";"[Rn] 5f14 6d10 7s2 7p6 ";176;118;118;7;18;;;;;;;;;"yes";;;;;15;"noble gas";"2002";7;8
