"atomicNumber";" symbol";" name";" atomicMass";" cpkHexColor";"random number";"Rand Proton Factor";"Fix Proton Factor";"gScore Factor";"Period Factor";"Group Factor";"Base Price";"Molecule Power Cost";"Compound Chance";"m³ per unit";"kg per unit";"kg/m³";" electronicConfiguration";"NumberofNeutrons";"NumberofProtons";"NumberofElectrons";"Period";"Group";" electronegativity";" atomicRadius";" ionRadius";" vanDelWaalsRadius";" ionizationEnergy";" electronAffinity";" oxidationStates";" standardState";"Radioactive";" bondingType";" meltingPoint";" boilingPoint";"adj density";"density";"gScore";" groupBlock";" yearDiscovered";"NumberofShells";"NumberofValence"
"59";" Pr ";" Praseodymium";" 140.90765(2)";"D9FFC7";0.498996641892348;0.749498320946174;0.5;0.8;0.857142857142857;0.166666666666667;0.240208517048795;0.655627705627706;1.35084294664953;455.314285714286;0.685714285714286;664;"[Xe] 4f3 6s2 ";82;59;59;6;3;"1.13";;"99 (+3)";;"527";"-50";"2, 3, 4";"solid";"   ";"metallic";"1204";"3563";6.64;"6,64000";"12";"lanthanoid";"1885";6;
"60";" Nd ";" Neodymium";" 144.242(3)";"C7FFC7";0.0609555459075676;0.522519769105543;0.508474576271186;0.8;0.857142857142857;0.166666666666667;0.244015093113208;0.659479785750972;1.35084294664953;480.685714285714;0.685714285714286;701;"[Xe] 4f4 6s2 ";84;60;60;6;3;"1.14";;"129 (+2)";;"533";"-50";"2, 3";"solid";"   ";"metallic";"1294";"3373";7.01;"7,01000";"12";"lanthanoid";"1885";6;
"61";" Pm ";" Promethium";" [145]";"A3FFC7";0.769617087923737;0.880903748841932;0.516949152542373;0.8;0.857142857142857;0.166666666666667;0.247960747641421;0.663331865874239;1.35084294664953;498.102857142857;0.685714285714286;726.4;"[Xe] 4f5 6s2 ";84;61;61;6;3;"1.13";;"97 (+3)";;"540";"-50";"3";"solid";"yes";"metallic";"1373";"3273";7.264;"7,264";"12";"lanthanoid";"1947";6;
"62";" Sm ";" Samarium";" 150.36(2)";"8FFFC7";0.730371496965405;0.858330786541145;0.525423728813559;0.8;0.857142857142857;0.166666666666667;0.252048827689329;0.667183945997505;1.35084294664953;504.205714285714;0.685714285714286;735.3;"[Xe] 4f6 6s2 ";88;62;62;6;3;"1.17";;"122 (+2)";;"545";"-50";"2, 3";"solid";"   ";"metallic";"1345";"2076";7.353;"7,353";"12";"lanthanoid";"1853";6;
"63";" Eu ";" Europium";" 151.964(1)";"61FFC7";0.776539522612065;0.880694829869153;0.533898305084746;0.8;0.857142857142857;0.166666666666667;0.256282720111351;0.671036026120772;1.35084294664953;359.588571428571;0.685714285714286;524.4;"[Xe] 4f7 6s2 ";89;63;63;6;3;"1.2";;"117 (+2)";;"547";"-50";"2, 3";"solid";"   ";"metallic";"1095";"1800";5.244;"5,244";"12";"lanthanoid";"1901";6;
"64";" Gd ";" Gadolinium";" 157.25(3)";"45FFC7";0.187751733177123;0.559458567146914;0.542372881355932;0.8;0.857142857142857;0.166666666666667;0.260665851560431;0.674888106244038;1.35084294664953;541.782857142857;0.685714285714286;790.1;"[Xe] 4f7 5d1 6s2 ";93;64;64;6;3;"1.2";;"93.8 (+3)";;"593";"-50";"1, 2, 3";"solid";"   ";"metallic";"1586";"3523";7.901;"7,901";"12";"lanthanoid";"1880";6;
"65";" Tb ";" Terbium";" 158.92535(2)";"30FFC7";0.941594271233014;0.967827352797847;0.550847457627119;0.8;0.857142857142857;0.166666666666667;0.265201688488038;0.678740186367305;1.35084294664953;563.588571428572;0.685714285714286;821.9;"[Xe] 4f9 6s2 ";94;65;65;6;3;"1.2";;"92.3 (+3)";;"566";"-50";"1, 3, 4";"solid";"   ";"metallic";"1629";"3503";8.219;"8,219";"12";"lanthanoid";"1843";6;
"66";" Dy ";" Dysprosium";" 162.500(1)";"1FFFC7";0.896824721894151;0.942291793601813;0.559322033898305;0.8;0.857142857142857;0.166666666666667;0.269893737144163;0.682592266490572;1.35084294664953;586.354285714286;0.685714285714286;855.1;"[Xe] 4f10 6s2 ";97;66;66;6;3;"1.22";;"107 (+2)";;"573";"-50";"2, 3";"solid";"   ";"metallic";"1685";"2840";8.551;"8,551";"12";"lanthanoid";"1886";6;
"67";" Ho ";" Holmium";" 164.93032(2)";"00FF9C";0.836894035971958;0.907388986526451;0.567796610169492;0.8;0.857142857142857;0.166666666666667;0.274745543577323;0.686444346613838;1.35084294664953;603.085714285714;0.685714285714286;879.5;"[Xe] 4f11 6s2 ";98;67;67;6;3;"1.23";;"90.1 (+3)";;"581";"-50";"3";"solid";"   ";"metallic";"1747";"2973";8.795;"8,795";"12";"lanthanoid";"1878";6;
"68";" Er ";" Erbium";" 167.259(3)";"0.00E+00";0.201958518270373;0.540111688494791;0.576271186440678;0.8;0.857142857142857;0.166666666666667;0.27976069363456;0.690296426737105;1.35084294664953;621.668571428572;0.685714285714286;906.6;"[Xe] 4f12 6s2 ";99;68;68;6;3;"1.24";;"89 (+3)";;"589";"-50";"3";"solid";"   ";"metallic";"1770";"3141";9.066;"9,066";"12";"lanthanoid";"1842";6;
"69";" Tm ";" Thulium";" 168.93421(2)";"00D452";0.265977864507222;0.570783666533884;0.584745762711864;0.8;0.857142857142857;0.166666666666667;0.284942812961438;0.694148506860371;1.35084294664953;639.154285714286;0.685714285714286;932.1;"[Xe] 4f13 6s2 ";100;69;69;6;3;"1.25";;"103 (+2)";;"597";"-50";"2, 3";"solid";"   ";"metallic";"1818";"2223";9.321;"9,321";"12";"lanthanoid";"1879";6;
"70";" Yb ";" Ytterbium";" 173.054(5)";"00BF38";0.156276611479129;0.49948612545372;0.593220338983051;0.8;0.857142857142857;0.166666666666667;0.290295567002047;0.698000586983638;1.35084294664953;450.514285714286;0.685714285714286;657;"[Xe] 4f14 6s2 ";103;70;70;6;3;"1.1";;"102 (+2)";;"603";"-50";"2, 3";"solid";"   ";"metallic";"1092";"1469";6.57;"6,57000";"12";"lanthanoid";"1878";6;
"71";" Lu ";" Lutetium";" 174.9668(1)";"00AB24";0.971404819563014;0.982794425330288;0.601694915254237;0.8;0.857142857142857;0.166666666666667;0.295822660999001;0.701852667106904;1.35084294664953;674.811428571429;0.685714285714286;984.1;"[Xe] 4f14 5d1 6s2 ";104;71;71;6;3;"1.27";"160";"86.1 (+3)";;"524";"-50";"3";"solid";"   ";"metallic";"1936";"3675";9.841;"9,841";"12";"lanthanoid";"1907";6;
"72";" Hf ";" Hafnium";" 178.49(2)";"4DC2FF";0.438196132422472;0.657204419783203;0.610169491525424;0.666666666666667;0.857142857142857;0.222222222222222;0.29300932147492;0.690048181573605;1.39024265429281;760.571428571429;0.571428571428571;1331;"[Xe] 4f14 5d2 6s2 ";106;72;72;6;4;"1.3";"150";"71 (+4)";;"659";"0";"2, 3, 4";"solid";"   ";"metallic";"2506";"4876";13.31;"13,31000";10;"transition metal";"1923";6;
"73";" Ta ";" Tantalum";" 180.94788(2)";"4DA6FF";0.187793081371039;0.497533007966829;0.61864406779661;0.666666666666667;0.857142857142857;0.277777777777778;0.308155629565763;0.696425514222124;1.39024265429281;951.428571428571;0.571428571428571;1665;"[Xe] 4f14 5d3 6s2 ";108;73;73;6;5;"1.5";"138";"72 (+3)";;"761";"-31";"-1, 2, 3, 4, 5";"solid";"   ";"metallic";"3290";"5731";16.65;"16,65000";10;"transition metal";"1802";6;
"74";" W ";" Tungsten";" 183.84(1)";"2194D6";0.344300812919591;0.588798814881778;0.627118644067797;0.666666666666667;0.857142857142857;0.333333333333333;0.323487632131938;0.702802846870644;1.39024265429281;1100;0.571428571428571;1925;"[Xe] 4f14 5d4 6s2 ";110;74;74;6;6;"2.36";"146";"66 (+4)";;"770";"-79";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"3695";"5828";19.25;"19,25000";10;"transition metal";"1783";6;
"75";" Re ";" Rhenium";" 186.207(1)";"267DAB";0.358605105191622;0.59233375329976;0.635593220338983;0.666666666666667;0.857142857142857;0.388888888888889;0.339009193610158;0.709180179519163;1.39024265429281;1201.14285714286;0.571428571428571;2102;"[Xe] 4f14 5d5 6s2 ";111;75;75;6;7;"1.9";"159";"63 (+4)";;"760";"-15";"-3, -1, 1, 2, 3, 4, 5, 6, 7";"solid";"   ";"metallic";"3459";"5869";21.02;"21,02000";10;"transition metal";"1925";6;
"76";" Os ";" Osmium";" 190.23(3)";"266696";0.916026330038023;0.94591526341432;0.644067796610169;0.666666666666667;0.857142857142857;0.444444444444444;0.354724218235656;0.715557512167682;1.39024265429281;1292;0.571428571428571;2261;"[Xe] 4f14 5d6 6s2 ";114;76;76;6;8;"2.2";"128";"63 (+4)";;"840";"-106";"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8";"solid";"   ";"metallic";"3306";"5285";22.61;"22,61000";10;"transition metal";"1803";6;
"77";" Ir ";" Iridium";" 192.217(3)";"175487";0.966674673748081;0.978253812530527;0.652542372881356;0.666666666666667;0.857142857142857;0.5;0.370636650042195;0.721934844816201;1.39024265429281;1294.28571428571;0.571428571428571;2265;"[Xe] 4f14 5d7 6s2 ";115;77;77;6;9;"2.2";"137";"68 (+3)";;"880";"-151";"-3, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2739";"4701";22.65;"22,65000";10;"transition metal";"1803";6;
"78";" Pt ";" Platinum";" 195.084(9)";"D0D0E0";0.205295115268535;0.474686601618184;0.661016949152542;0.666666666666667;0.857142857142857;0.555555555555556;0.386750472862056;0.72831217746472;1.39024265429281;1205.14285714286;0.571428571428571;2109;"[Xe] 4f14 5d9 6s1 ";117;78;78;6;10;"2.28";"128";"86 (+2)";"175";"870";"-205";"2, 4, 5, 6";"solid";"   ";"metallic";"2041";"4098";21.09;"21,09000";10;"transition metal";"Ancient";6;
"79";" Au ";" Gold";" 196.966569(4)";"FFD123";0.188241965915759;0.456534875485975;0.669491525423729;0.666666666666667;0.857142857142857;0.611111111111111;0.40306971032605;0.734689510113239;1.39024265429281;1102.85714285714;0.571428571428571;1930;"[Xe] 4f14 5d10 6s1 ";118;79;79;6;11;"2.54";"144";"137 (+1)";"166";"890";"-223";"-1, 1, 2, 3, 5";"solid";"   ";"metallic";"1337";"3129";19.3;"19,30000";10;"transition metal";"Ancient";6;
"80";" Hg ";" Mercury";" 200.59(2)";"B8B8D0";0.895362215534499;0.929059129175931;0.677966101694915;0.666666666666667;0.857142857142857;0.666666666666667;0.419598425863509;0.741066842761758;1.39024265429281;773.371428571429;0.571428571428571;1353.4;"[Xe] 4f14 5d10 6s2 ";121;80;80;6;12;"2";"149";"119 (+1)";"155";"1007";"0";"1, 2, 4";"liquid";"   ";"metallic";"234";"630";13.534;"13,534";10;"transition metal";"Ancient";6;
"81";" Tl ";" Thallium";" 204.3833(2)";"A6544D";0.834235687413174;0.886212632885315;0.686440677966102;0.133333333333333;0.857142857142857;0.722222222222222;0.365229611591178;0.674716902683004;1.64424975930837;135.428571428571;0.114285714285714;1185;"[Xe] 4f14 5d10 6s2 6p1 ";123;81;81;6;13;"2.04";"148";"150 (+1)";"196";"589";"-19";"1, 3";"solid";"   ";"metallic";"577";"1746";11.85;"11,85000";2;"metal";"1861";6;3
"82";" Pb ";" Lead";" 207.2(1)";"575961";0.374872445589207;0.56558932659589;0.694915254237288;0.133333333333333;0.857142857142857;0.777777777777778;0.382189632757662;0.681094235331524;1.64424975930837;129.6;0.114285714285714;1134;"[Xe] 4f14 5d10 6s2 6p2 ";125;82;82;6;14;"2.33";"147";"119 (+2)";"202";"716";"-35";"-4, 2, 4";"solid";"   ";"metallic";"601";"2022";11.34;"11,34000";2;"metal";"Ancient";6;4
"83";" Bi ";" Bismuth";" 208.98040(1)";"9E4FB5";0.939169949701183;0.957212761230493;0.703389830508475;0.133333333333333;0.857142857142857;0.833333333333333;0.399371561076754;0.687471567980043;1.64424975930837;111.771428571429;0.114285714285714;978;"[Xe] 4f14 5d10 6s2 6p3 ";126;83;83;6;15;"2.02";"146";"103 (+3)";;"703";"-91";"-3, 3, 5";"solid";"   ";"metallic";"544";"1837";9.78;"9,78000";2;"metal";"Ancient";6;5
"84";" Po ";" Polonium";" [209]";"AB5C00";0.832767647865101;0.880953240853123;0.711864406779661;0.333333333333333;0.857142857142857;0.888888888888889;0.443446285838553;0.721121627901289;1.52682446190574;262.742857142857;0.285714285714286;919.6;"[Xe] 4f14 5d10 6s2 6p4 ";126;84;84;6;16;"2";;"94 (+4)";;"812";"-183";"-2, 2, 4, 6";"solid";"yes";"metallic";"527";"1235";9.196;"9,196";"5";"metalloid";"1898";6;6
"85";" At ";" Astatine";" [210]";"754F45";0.864929723966017;0.902703614721283;0.720338983050847;0.2;0.857142857142857;0.944444444444444;0.443306958353901;0.70931714236799;1.60148454036544;108.857142857143;0.171428571428571;635;"[Xe] 4f14 5d10 6s2 6p5 ";125;85;85;6;17;"2.2";;"62 (+7)";;"920";"-270";"-1, 1, 3, 5";"solid";"yes";"covalent network";"575";;6.35;;3;"halogen";"1940";6;7
"86";" Rn ";" Radon";" [222]";"428296";0.738007467913703;0.809056290174393;0.728813559322034;0.466666666666667;0.857142857142857;1;0.496735658621054;0.752058111380145;1.46462659963154;0.556;0.571428571428571;0.973;"[Xe] 4f14 5d10 6s2 6p6 ";136;86;86;6;18;;"145";;;"1037";;"2";"gas";"yes";"atomic";"202";"211";0.00973;"0,00973";7;"noble gas";"1900";6;8
"87";" Fr ";" Francium";" [223]";"420066";0.447383407673741;0.592562342945894;0.73728813559322;0.266666666666667;1;0.0555555555555556;0.326276411198698;0.737656223249444;1.5316108651812;66.1333333333333;0.266666666666667;248;"[Rn] 7s1 ";136;87;87;7;1;"0.7";;"180 (+1)";;"380";;"1";"solid";"yes";"metallic";;;2.48;;4;"alkali metal";"1939";7;1
"88";" Ra ";" Radium";" [226]";"007D00";0.20263020179059;0.405351336928576;0.745762711864407;0.4;1;0.111111111111111;0.362409788380551;0.762215374079781;1.4634661861709;200;0.4;500;"[Rn] 7s2 ";138;88;88;7;2;"0.9";;"148 (+2)";;"509";;"2";"solid";"yes";"metallic";"973";"2010";5;"5";"6";"alkaline earth metal";"1898";7;2
"89";" Ac ";" Actinium";" [227]";"70ABFA";0.77281265194069;0.828646830701029;0.754237288135593;0.866666666666667;1;0.166666666666667;0.443235449877903;0.832229070364664;1.30284214027797;872.733333333333;0.866666666666667;1007;"[Rn] 6d1 7s2 ";138;89;89;7;3;"1.1";;"112 (+3)";;"499";;"3";"solid";"yes";"metallic";"1323";"3473";10.07;"10,07000";13;"actinoid";"1899";7;
"90";" Th ";" Thorium";" 232.03806(2)";"00BAFF";0.699332003703131;0.770676951976964;0.76271186440678;0.866666666666667;1;0.166666666666667;0.452831931179403;0.83608115048793;1.30284214027797;1016.08;0.866666666666667;1172.4;"[Rn] 6d2 7s2 ";142;90;90;7;3;"1.3";;"94 (+4)";;"587";;"2, 3, 4";"solid";"yes";"metallic";"2023";"5093";11.724;"11,724";13;"actinoid";"1828";7;
"91";" Pa ";" Protactinium";" 231.03588(2)";"00A1FF";0.413937975817062;0.548036913553836;0.771186440677966;0.866666666666667;1;0.166666666666667;0.462685214979634;0.839933230611197;1.30284214027797;1332.06666666667;0.866666666666667;1537;"[Rn] 5f2 6d1 7s2 ";140;91;91;7;3;"1.5";;"104 (+3)";;"568";;"3, 4, 5";"solid";"yes";"metallic";"1845";"4273";15.37;"15,37000";13;"actinoid";"1913";7;
"92";" U ";" Uranium";" 238.02891(3)";"008FFF";0.592716758960917;0.682457134105122;0.779661016949153;0.866666666666667;1;0.166666666666667;0.47279984229022;0.843785310734463;1.30284214027797;1651;0.866666666666667;1905;"[Rn] 5f3 6d1 7s2 ";146;92;92;7;3;"1.38";;"102.5 (+3)";"186";"598";;"3, 4, 5, 6";"solid";"yes";"metallic";"1408";"4200";19.05;"19,05000";13;"actinoid";"1789";7;
"93";" Np ";" Neptunium";" [237]";"0080FF";0.918126923819971;0.935472914536079;0.788135593220339;0.866666666666667;1;0.166666666666667;0.48318039392131;0.84763739085773;1.30284214027797;1772.33333333333;0.866666666666667;2045;"[Rn] 5f4 6d1 7s2 ";144;93;93;7;3;"1.36";;"110 (+2)";;"605";;"3, 4, 5, 6, 7";"solid";"yes";"metallic";"917";"4273";20.45;"20,45000";13;"actinoid";"1940";7;
"94";" Pu ";" Plutonium";" [244]";"006BFF";0.391760632282137;0.515470334190855;0.796610169491525;0.866666666666667;1;0.166666666666667;0.493831490481577;0.851489470980996;1.30284214027797;1717.38666666667;0.866666666666667;1981.6;"[Rn] 5f6 7s2 ";150;94;94;7;3;"1.28";;"100 (+3)";;"585";;"3, 4, 5, 6, 7";"solid";"yes";"metallic";"913";"3503";19.816;"19,816";13;"actinoid";"1940";7;
"95";" Am ";" Americium";" [243]";"545CF2";0.774388706994957;0.818363789529838;0.805084745762712;0.866666666666667;1;0.166666666666667;0.504757792378219;0.855341551104263;1.30284214027797;1040;0.866666666666667;1200;"[Rn] 5f7 7s2 ";148;95;95;7;3;"1.3";;"126 (+2)";;"578";;"2, 3, 4, 5, 6";"solid";"yes";"metallic";"1449";"2284";12;;13;"actinoid";"1944";7;
"96";" Cm ";" Curium";" [247]";"785CE3";0.597680198553207;0.672688975094134;0.813559322033898;0.866666666666667;1;0.166666666666667;0.515963999816958;0.85919363122753;1.30284214027797;1170.86666666667;0.866666666666667;1351;"[Rn] 5f7 6d1 7s2 ";151;96;96;7;3;"1.3";;"97 (+3)";;"581";;"3, 4";"solid";"yes";"metallic";"1618";"3383";13.51;"13,51000";13;"actinoid";"1944";7;
"97";" Bk ";" Berkelium";" [247]";"8A4FE3";0.0158954729679999;0.191032719304203;0.822033898305085;0.866666666666667;1;0.166666666666667;0.527454852802039;0.863045711350796;1.30284214027797;1280.93333333333;0.866666666666667;1478;"[Rn] 5f9 7s2 ";150;97;97;7;3;"1.3";;"96 (+3)";;"601";;"3, 4";"solid";"yes";"metallic";"1323";;14.78;"14,78000";13;"actinoid";"1949";7;
"98";" Cf ";" Californium";" [251]";"A136D4";0.594247303024369;0.663018946579561;0.830508474576271;0.866666666666667;1;0.166666666666667;0.539235131136234;0.866897791474063;1.30284214027797;1308.66666666667;0.866666666666667;1510;"[Rn] 5f10 7s2 ";153;98;98;7;3;"1.3";;"95 (+3)";;"608";;"2, 3, 4";"solid";"yes";"metallic";"1173";;15.1;"15,10000";13;"actinoid";"1950";7;
"99";" Es ";" Einsteinium";" [252]";"B31FD4";0.328867101938202;0.436930873660017;0.838983050847458;0.866666666666667;1;0.166666666666667;0.551309654420836;0.870749871597329;1.30284214027797;766.133333333333;0.866666666666667;884;"[Rn] 5f11 7s2 ";153;99;99;7;3;"1.3";;;;"619";;"2, 3";"solid";"yes";;"1133";;8.84;;13;"actinoid";"1952";7;
"100";" Fm ";" Fermium";" [257]";"B31FBA";0.889129364508281;0.906041834329052;0.847457627118644;0.866666666666667;1;0.166666666666667;0.563683282055667;0.874601951720596;1.30284214027797;840.666666666666;0.866666666666667;970;"[Rn] 5f12 7s2 ";157;100;100;7;3;"1.3";;;;"627";;"2, 3";;"yes";;"1800";;9.7;;13;"actinoid";"1952";7;
"101";" Md ";" Mendelevium";" [258]";"B30DA6";0.121937386662174;0.248437932651522;0.85593220338983;0.866666666666667;1;0.166666666666667;0.576360913239068;0.878454031843862;1.30284214027797;892.666666666667;0.866666666666667;1030;"[Rn] 5f13 7s2 ";157;101;101;7;3;"1.3";;;;"635";;"2, 3";;"yes";;"1100";;10.3;;13;"actinoid";"1955";7;
"102";" No ";" Nobelium";" [259]";"BD0D87";0.537944338959063;0.600595954015462;0.864406779661017;0.866666666666667;1;0.166666666666667;0.589347486967907;0.882306111967129;1.30284214027797;858;0.866666666666667;990;"[Rn] 5f14 7s2 ";157;102;102;7;3;"1.3";;;;"642";;"2, 3";;"yes";;"1100";;9.9;;13;"actinoid";"1957";7;
"103";" Lr ";" Lawrencium";" [262]";"C70066";0.394361673674715;0.471349596512675;0.872881355932203;0.866666666666667;1;0.166666666666667;0.602647982037577;0.886158192090396;1.30284214027797;1395.33333333333;0.866666666666667;1610;"[Rn] 5f14 7s2 7p1 ";159;103;103;7;3;"1.3";;;;;;"3";;"yes";;"1900";;16.1;;13;"actinoid";"1961";7;
"104";" Rf ";" Rutherfordium";" [267]";"CC0059";0.324349789714091;0.404511679070046;0.88135593220339;0.733333333333333;1;0.222222222222222;0.607748898523475;0.874353706557096;1.33880353337911;1708.66666666667;0.733333333333333;2330;"[Rn] 5f14 6d2 7s2 ";157;104;104;7;4;;;;;;;"4";;"yes";;;;23.3;;11;"transition metal";"1969";7;
"105";" Db ";" Dubnium";" [268]";"D1004F";0.493839250568054;0.549602722963099;0.889830508474576;0.733333333333333;1;0.277777777777778;0.630951591114339;0.880731039205615;1.33880353337911;2148.66666666667;0.733333333333333;2930;"[Rn] 5f14 6d3 7s2 ";157;105;105;7;5;;;;;;;;;"yes";;;;29.3;;11;"transition metal";"1967";7;
"106";" Sg ";" Seaborgium";" [271]";"D90045";0.683206549683397;0.715422832766441;0.898305084745763;0.733333333333333;1;0.333333333333333;0.654483380223356;0.887108371854135;1.33880353337911;2566.66666666667;0.733333333333333;3500;"[Rn] 5f14 6d4 7s2 ";160;106;106;7;6;;;;;;;;;"yes";;;;35;;11;"transition metal";"1974";7;
"107";" Bh ";" Bohrium";" [272]";"E00038";0.358184555445293;0.41801480875124;0.906779661016949;0.733333333333333;1;0.388888888888889;0.678349403840015;0.893485704502654;1.33880353337911;2720.66666666667;0.733333333333333;3710;"[Rn] 5f14 6d5 7s2 ";157;107;107;7;7;;;;;;;;;"yes";;;;37.1;;11;"transition metal";"1976";7;
"108";" Hs ";" Hassium";" [270]";"E6002E";0.7381016972016;0.760296468625193;0.915254237288135;0.733333333333333;1;0.444444444444444;0.70255483975233;0.899863037151173;1.33880353337911;3006.66666666667;0.733333333333333;4100;"[Rn] 5f14 6d6 7s2 ";159;108;108;7;8;;;;;;;;;"yes";;;;41;;11;"transition metal";"1984";7;
"109";" Mt ";" Meitnerium";" [276]";"EB0026";0.613727216847712;0.64318870030848;0.923728813559322;0.733333333333333;1;0.5;0.727104905546838;0.906240369799692;1.33880353337911;2742.66666666667;0.733333333333333;3740;"[Rn] 5f14 6d7 7s2 ";159;109;109;7;9;;;;;;;;;"yes";;;;37.4;;11;"transition metal";"1982";7;
"110";" Ds ";" Darmstadtium";" [281]";"EB0026";0.217272950047074;0.270339190721849;0.932203389830508;0.733333333333333;1;0.555555555555556;0.752004858608603;0.912617702448211;1.33880353337911;2552;0.733333333333333;3480;"[Rn] 5f14 6d9 7s1 ";161;110;110;7;10;;;;;;;;;"yes";;;;34.8;;11;"transition metal";"1994";7;
"111";" Rg ";" Roentgenium";" [280]";"EB0026";0.216711238377327;0.263177520846469;0.940677966101695;0.733333333333333;1;0.611111111111111;0.777259996121211;0.91899503509673;1.33880353337911;2104.66666666667;0.733333333333333;2870;"[Rn] 5f14 6d10 7s1 ";161;111;111;7;11;;;;;;;;;"yes";;;;28.7;;11;"transition metal";"1994";7;
"112";" Cn ";" Copernicium";" [285]";"EB0026";0.783983307365621;0.794967206991098;0.949152542372881;0.733333333333333;1;0.666666666666667;0.802875655066772;0.925372367745249;1.33880353337911;1026.66666666667;0.733333333333333;1400;"[Rn] 5f14 6d10 7s2 ";173;112;112;7;12;;;;;;;;;"yes";;;;14;;11;"transition metal";"1996";7;
"113";" Nh ";" Nihonium";" [284]";"EB0026";0.824613536076121;0.832045165903404;0.957627118644068;0.933333333333333;1;0.722222222222222;0.855523878892589;0.959022427666496;1.28717934433952;1493.33333333333;0.933333333333333;1600;"[Rn] 5f14 6d10 7s2 7p1 ";171;113;113;7;13;;;;;;;;;"yes";;;;16;;14;"post-transition metal";"2003";7;3
"114";" Fl ";" Flerovium";" [289]";"EB0026";0.628850282653103;0.641431629003846;0.966101694915254;0.933333333333333;1;0.777777777777778;0.881876750844488;0.965399760315015;1.28717934433952;1306.66666666667;0.933333333333333;1400;"[Rn] 5f14 6d10 7s2 7p2 ";175;114;114;7;14;;;;;;;;;"yes";;;;14;;14;"post-transition metal";"1998";7;4
"115";" Mc ";" Moscovium";" [288]";"EB0026";0.652643146767225;0.661474253205346;0.974576271186441;0.933333333333333;1;0.833333333333333;0.908606393966819;0.971777092963534;1.28717934433952;1260;0.933333333333333;1350;"[Rn] 5f14 6d10 7s2 7p3 ";173;115;115;7;15;;;;;;;;;"yes";;;;13.5;;14;"post-transition metal";"2003";7;5
"116";" Lv ";" Livermorium";" [293]";"EB0026";0.0115314404215238;0.028285144821159;0.983050847457627;0.933333333333333;1;0.888888888888889;0.935718304435791;0.978154425612053;1.28717934433952;1204;0.933333333333333;1290;"[Rn] 5f14 6d10 7s2 7p4 ";176;116;116;7;16;;;;;;;;;"yes";;;;12.9;;14;"post-transition metal";"2000";7;6
"117";" Ts ";" Tennessine";" [294]";"EB0026";0.508509216180049;0.512674392314117;0.991525423728814;0.933333333333333;1;0.944444444444444;0.963218018226136;0.984531758260572;1.28717934433952;672;0.933333333333333;720;"[Rn] 5f14 6d10 7s2 7p5 ";178;117;117;7;17;;;;;;;;;"yes";;;;7.2;;14;"post-transition metal";"2010";7;7
"118";" Og ";" Oganesson";" [294] ";"EB0026";0.748499407249113;0.748499407249113;1;1;1;1;1;1;1.27288340166641;500;1;500;"[Rn] 5f14 6d10 7s2 7p6 ";176;118;118;7;18;;;;;;;;;"yes";;;;5;;15;"noble gas";"2002";7;8
